anlaeg,ejer,adresse,type,lat,lon,cvr,virk_navn,pno,branche,match_source,afregning_2023_kr,prod_opgrad_gj,prod_el_gj
Foersom  Bioenergi A/S,Foersom  Bioenergi A/S,"Egvadvej 29, Foersum, 6880 Tarm",,55.85326265,8.55951508,15234733,GÅRDEJER TORBEN CHRISTENSEN,1000885778.0,Produktion af slagtesvin,punit_address,-1864030.25,88301.60598725107,
Naturbiogas Tværmose,Naturbiogas Tværmose (tidl. Ejsing),"Ejsingholmvej 35, 7830 Vinderup ",Landbrug,56.53038441,8.75826746,13466998,KNUD ERLING BIRCH,1000569267.0,Avl af malkekvæg,punit_address,-21445126.74,,
Maabjerg Energy Center - Biogas A/S,Arla Foods Energy A/S,"Energivej 13, 7500 Holstebro",Landbrug,56.3982596,8.61468328,32266266,Maabjerg Energy Center - BioGas A/S,1015335021.0,Produktion af gas,punit_address,-25880892.97,,176021.3245669351
Nature Energy Kværs ApS,Nature Energy Kværs ApS,"Felstedvej 35C, Kværs, 6300 Gråsten",Landbrug,54.93975753,9.51868959,19693074,LARS HANSEN,1003935463.0,Blandet landbrugsdrift,punit_address,-47868216.3,580132.987840443,
Nysted Bioenergi ApS,Bigadan,"Fuglegårdsvej 10, 4892 Kettinge",Landbrug,54.6984408,11.71199623,20290994,NYSTED BIOGAS A.M.B.A.,1004223305.0,Produktion af elektricitet,punit_address,-4196063.050000001,,28538.295542615662
Vicus Biogas ApS,Vicus Biogas ApS,"Fuglsangvej 100, 8450 Hammel",Landbrug,56.23678916,9.93260852,45106799,BioCirc Favrskov CCS K/S,1030704890.0,Fremstilling af industrigasser,punit_address,-45465573.36,520201.0362058435,
Fårborggård I/S,Fårborggård I/S,"Fårborgvej 11A, 6940 Lem St",Landbrug,,,32511805,Fårborggård I/S,,Avl af smågrise,name,-356871.2799999999,,4985.593584996959
Nature Energy Sønderborg A/S,Nature Energy Sønderborg A/S,"Glansager 4, 6400 Sønderborg",Landbrug,,,34734690,Nature Energy Trekanten A/S,,Fremstilling af gas,name,-49517068.31,591834.2360848351,
Nature Energy Månsson A/S,Nature Energy Månsson A/S,"Grarupvej 1A, 7330 Brande",Landbrug,,,34734690,Nature Energy Trekanten A/S,,Fremstilling af gas,name,-50675889.57,675518.826135219,
GreenLab Skive Biogas ApS,GreenLab Skive Biogas ApS,"Greenlab 10, 7860 Spøttrup",Landbrug,56.64702489,8.97890144,38280880,Biogasanlæg,1025917193.0,Produktion af gas,punit_address,-72508924.66000001,,
Nature Energy Holsted A/S,Nature Energy Holsted A/S,"Grindstedvej 4, 6670 Holsted",Landbrug,55.53027015,8.91255728,28305141,N.C. Miljø,1020683488.0,Genbrug af sorterede materialer,punit_address,-66369412.239999995,822636.8111198148,
GrønGas Vrå A/S,GrønGas Vrå A/S,"Grøngasvej 13, 9760 Vrå",Landbrug,57.36525072,9.98207276,39611430,Biomass.dk A/S,1023664816.0,Støtteaktiviteter i forbindelse med planteavl,punit_address,-42313490.92,484136.0215979658,
Rønnovsholm ApS v/N K Holger Kirketerp,Rønnovsholm ApS,"Guldagervej 404C, 9800 Hjørring",Landbrug,,,27042902,RØNNOVSHOLM v/N K Holger Kirketerp,,Blandet landbrugsdrift,name,-8962553.82,102546.37616849868,
Nature Energy Hemmet ApS,Nature Energy A/S,"Gundesbølvej 21A, 6893 Hemmet",,55.84364711,8.42981865,17100742,JEPPE NIELSEN,1001222576.0,Udlejning af erhvervsejendomme,punit_address,-28537269.49,326513.3604311854,
GrønGas Hjørring A/S,GrønGas Hjørring A/S,"Gårestrupvej 179, 9800 Hjørring",Landbrug,57.49185807,9.92214279,26114179,GrønGas Hjørring A/S,1023710656.0,Produktion af gas,punit_address,-2925300.5600000005,,19895.57625770208
Bio Vækst A/S,Bio Vækst A/S,"Hagesholmvej 7, 4520 Svinninge",Deponi,55.75876993,11.58660612,13507406,Audebo Miljøcenter,1014181969.0,Anden nyttiggørelse af affald,punit_address,-37618.24,,540.336694581568
Naturbiogas Sode A/S,BioCirc,"Hejsager Næsvej 137A, 6100 Haderselv",Landbrug,,,41604034,Naturbiogas Ejstrup ApS,,Produktion af gas,name,-59300204.489999995,882320.7699635451,
Claus P Hissel,Claus P Hissel,"Hellinghøjvej 5, Tumbøl 6200 Aabenraa",,54.96832525,9.51247665,18306077,CLAUS P. HISSEL I/S               V/CLAUS P. HISSEL & CLAUS PETERSENHISSEL,1001476403.0,Planteavl kombineret med husdyravl (blandet drift),punit_address,,,11926.898417858114
Hærup Biogas ApS,Klejtrup varmeværk ,"Herredsvejen 180A, 9500 Hobro",Landbrug,56.58271952,9.60985314,36453672,JENSENS MARKBRUG ApS,1019953307.0,"Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø",punit_address,-5030129.57,,34210.95516072
Ølgod Bioenergi ApS,Ølgod Bioenergi ApS,"Hjeddingvej 6A, 6870 Ølgod",Landbrug,55.78670405,8.60705823,11965342,HANS PEDER CHRISTIANSEN,1000307067.0,"Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø",punit_address,-13807318.010000002,195124.27230535256,
Sustainable Bio Solutions Aabenraa K/S,Sustainable Bio Solutions Aabenraa K/S,"Hjerneshøjvej 10, 6200 Aabenraa",Landbrug,54.94318404,9.37001052,25191153,SBS Kliplev,1027303729.0,Produktion af gas,punit_address,-113679235.22,1300677.6680556757,
Filskov Energiselskab A M B A,Filskov Energiselskab A M B A,"Hjortlundvej 13A, 7200 Grindsted",Landbrug,55.80503261,9.03009967,16263443,FILSKOV ENERGISELSKAB A M B A,1001067947.0,Fjernvarmeforsyning,punit_address,-5461304.81,,37143.46745471232
Holbæk Bioenergi I/S,Holbæk Bioenergi I/S,"Holbækvej 33, 6780 Skærbæk",Landbrug,55.21551901,8.86726871,16814172,ANDERS OG JUTTA ROSENKVIST,1001165114.0,Avl af malkekvæg,punit_address,-2751186.1,,18711.38766947113
Lykkeslund Bioenergi ApS,Lykkeslund Bioenergi ApS,"Holemarken 24, 5450 Otterup",Landbrug,55.54343518,10.31477912,19224244,LARS LANGSKOV NIELSEN,1003730157.0,Avl af smågrise,punit_address,-10781853.87,126665.5775472098,
Vesthimmerland Biogas A/S,BioCirc,"Holmevej 100, 9640 Farsø",Landbrug,56.78747527,9.38806301,89797217,ALDI MARKED,1010338766.0,Discountforretninger,punit_address,-107818569.48,1324897.7687030516,
Kim Westergaard,Kim Westergaard,"Holmvej 12, 6200 Aabenraa",,54.94810656,9.43080733,10205107,HANS MARTIN WESTERGAARD,1000035807.0,Avl af malkekvæg,punit_address,-1383732.82,,9411.05418801163
AU-Vindmøller I/S,AU-Vindmøller I/S,"Holstebrovej 101, 7560 Hjerm",Landbrug,56.42913211,8.60192513,34007993,Ausumgaard Vindmøllelaug I/S,1017325562.0,Produktion af elektricitet fra vedvarende energikilder,punit_address,-23540290.179999996,273028.3158739668,
Ulsted biogas ApS,Ulsted biogas ApS,"Houvej 90, 9370 Hals",Landbrug,57.05679366,10.30886776,25448286,ULSTED EL-FORRETNING A/S,1002738531.0,El-installation,punit_address,-2104712.73,,14314.58803779264
Flemløse Biogas ApS,Flemløse Biogas ApS,"Karlemosevej 5, 5620 Glamsbjerg",Landbrug,55.25683037,10.07568168,39037718,Flemløse Biogas ApS,1022959642.0,Produktion af gas,punit_address,-17084942.929999996,195479.88414018104,
