OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
162326,,28422725,Vejlsøvej,12,nan,8600,Silkeborg,206.2,2,"Skovrejsning, direktivimplementerende uden tilsagn ved Landbrugsstyrelsen",565,,706-1,84.4,4,0,79.74,126.46,158.59041886129924,,,
12134,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,1-211,296.23,4,0,174.22,122.20000000000002,70.14120078062221,,,
12150,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,18-631,148.115,4,0,174.22,122.20000000000002,70.14120078062221,,,
12152,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,19-240,218.78,4,0,174.22,122.20000000000002,70.14120078062221,,,
12155,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,18-669,87.87,4,0,174.22,122.20000000000002,70.14120078062221,,,
12169,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,64-82,49.26,4,0,174.22,122.20000000000002,70.14120078062221,,,
12170,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,19-201,13.656,4,0,174.22,122.20000000000002,70.14120078062221,,,
12179,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,396-82,23.7136,4,0,174.22,122.20000000000002,70.14120078062221,,,
12182,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,1-251,59.284,4,0,174.22,122.20000000000002,70.14120078062221,,,
12183,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,396-77,29.2559,2,0,174.22,122.20000000000002,70.14120078062221,,,
12187,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,756-2,424.275,4,0,174.22,122.20000000000002,70.14120078062221,,,
12189,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,18-666,98.03,4,0,174.22,122.20000000000002,70.14120078062221,,,
12193,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,18-564,236.984,4,0,174.22,122.20000000000002,70.14120078062221,,,
12194,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,296.42,2,Vinterhvede,11,,49-42,148.21,4,0,174.22,122.20000000000002,70.14120078062221,,,
293612,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,738-1,9.0,2,0,90.49,117.74,130.1138247320146,,,
293613,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,18-669,140.0,4,0,90.49,117.74,130.1138247320146,,,
293615,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,19-151,110.0,2,0,90.49,117.74,130.1138247320146,,,
293617,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,396-78,6.0,2,0,90.49,117.74,130.1138247320146,,,
293618,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,1-203,45.0,4,0,90.49,117.74,130.1138247320146,,,
293619,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,1-195,58.38,4,0,90.49,117.74,130.1138247320146,,,
293621,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,561-3,15.0,2,0,90.49,117.74,130.1138247320146,,,
293622,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,18-549,63.25,4,0,90.49,117.74,130.1138247320146,,,
293625,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,1-172,14.0,4,0,90.49,117.74,130.1138247320146,,,
293626,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,738-2,20.2,2,0,90.49,117.74,130.1138247320146,,,
293627,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,18-544,92.0,4,0,90.49,117.74,130.1138247320146,,,
293629,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,364-67,485.3,4,0,90.49,117.74,130.1138247320146,,,
293630,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,18-407,80.0,2,0,90.49,117.74,130.1138247320146,,,
293631,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,19-219,55.0,4,0,90.49,117.74,130.1138247320146,,,
293632,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,1-201,37.0,2,0,90.49,117.74,130.1138247320146,,,
293633,,75834128,Kvinderupvej,2,nan,3550,Slangerup,208.23,2,Salat (friland),420,,526-13,40.0,2,0,90.49,117.74,130.1138247320146,,,
12136,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,18-432,21.064,4,0,77.61,114.63000000000001,147.70003865481254,,,
12137,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,64-82,28.4925,4,0,77.61,114.63000000000001,147.70003865481254,,,
12139,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,64-88,37.99,4,0,77.61,114.63000000000001,147.70003865481254,,,
12140,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,18-666,25.755,4,0,77.61,114.63000000000001,147.70003865481254,,,
12164,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,19-184,34.34,4,0,77.61,114.63000000000001,147.70003865481254,,,
12167,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,18-569,13.2965,4,0,77.61,114.63000000000001,147.70003865481254,,,
12174,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,18-414,5.928,4,0,77.61,114.63000000000001,147.70003865481254,,,
12175,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,396-78,8.585,2,0,77.61,114.63000000000001,147.70003865481254,,,
12177,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,756-2,207.5,4,0,77.61,114.63000000000001,147.70003865481254,,,
12188,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,18-416,20.2788,4,0,77.61,114.63000000000001,147.70003865481254,,,
